age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,ID
40,4,1,2,0,306,1,0,-1,7,5,184,2,-1,0,-1,888
37,10,0,3,0,105,1,0,2,8,5,349,1,-1,0,-1,36010
25,4,0,-1,0,373,1,0,-1,27,6,634,2,-1,0,-1,12379
36,7,1,2,0,1345,1,0,-1,30,5,231,3,-1,0,-1,7518
50,4,1,1,0,1290,1,0,-1,30,5,65,14,-1,0,-1,7678
56,4,1,2,0,385,0,0,2,20,8,210,3,-1,0,-1,22042
35,5,-1,3,0,877,1,0,2,15,4,61,3,-1,0,-1,32099
31,8,1,3,0,5191,0,0,2,20,11,187,2,-1,0,-1,26708
30,10,0,3,0,890,0,0,2,27,8,16,18,-1,0,-1,23334
54,4,1,1,0,38,0,0,2,28,7,115,8,-1,0,-1,17218
36,10,0,3,0,85,0,0,2,14,5,76,1,-1,0,-1,37662
56,8,1,3,0,773,0,0,-1,18,6,345,1,-1,0,-1,11234
33,10,1,3,0,685,0,0,-1,17,11,53,1,-1,0,-1,24389
33,10,1,2,0,4040,1,0,2,20,4,132,2,-1,0,-1,33557
40,4,1,1,0,968,1,1,-1,8,5,213,1,-1,0,-1,1354
42,4,0,3,0,1736,0,0,1,21,7,179,2,-1,0,-1,15534
31,4,1,1,0,591,1,0,-1,14,5,287,3,-1,0,-1,2767
51,4,1,2,0,794,1,0,1,24,7,747,1,-1,0,-1,16645
57,9,1,2,0,340,0,1,2,31,7,167,2,-1,0,-1,18386
71,3,1,3,0,2651,0,0,2,24,8,73,3,200,2,0,41243
35,4,1,2,0,563,0,1,2,4,6,147,1,119,3,0,40086
32,7,0,3,0,388,0,0,2,2,8,100,8,95,3,1,44372
60,3,1,2,0,374,0,0,2,19,8,276,2,-1,0,-1,21524
26,2,0,-1,0,598,0,0,2,6,3,136,1,-1,0,-1,31280
42,7,1,2,1,-197,1,0,2,6,8,66,7,-1,0,-1,19203
35,7,0,2,0,1467,1,1,2,7,5,381,1,-1,0,-1,35367
26,4,1,2,0,5795,1,0,2,14,5,1094,2,-1,0,-1,38006
42,7,1,2,0,-887,0,0,-1,2,6,349,4,-1,0,-1,8275
35,10,0,3,0,0,0,0,2,29,8,131,2,-1,0,-1,23837
46,7,1,2,0,138,1,0,2,7,4,226,2,-1,0,-1,31701
25,8,0,3,0,347,0,0,2,20,8,267,1,-1,0,-1,41185
36,6,0,2,0,1173,1,1,-1,20,6,50,5,-1,0,-1,11688
53,9,1,1,0,0,1,0,2,8,5,86,1,298,3,0,35743
42,5,0,-1,0,410,0,0,2,21,11,34,2,-1,0,-1,27709
49,7,1,3,0,523,1,0,2,3,4,203,1,31,2,1,31593
36,10,1,3,0,849,1,1,-1,21,5,958,2,-1,0,-1,4867
42,5,-1,2,0,138,0,0,2,17,7,324,1,-1,0,-1,15055
40,4,1,2,0,299,1,0,2,15,7,180,4,-1,0,-1,14615
33,10,0,3,0,102,1,1,2,19,11,199,1,-1,0,-1,25494
55,4,1,2,0,660,0,0,-1,5,6,348,1,-1,0,-1,9161
51,4,1,1,0,0,0,0,-1,9,6,166,2,-1,0,-1,9906
35,7,-1,2,1,362,0,0,2,29,1,329,2,240,8,-1,28545
35,8,1,2,0,10,1,0,2,21,7,314,7,-1,0,-1,15894
24,9,0,2,0,290,1,0,2,15,5,80,3,368,4,0,38631
45,9,1,2,0,205,0,0,2,3,2,373,1,92,1,1,42861
43,4,1,1,0,3917,0,0,2,3,6,725,2,93,1,1,40034
31,9,1,2,0,184,1,0,-1,12,5,378,3,-1,0,-1,2113
48,4,1,2,0,2345,1,1,2,5,5,306,2,-1,0,-1,34668
37,7,1,2,1,693,0,0,-1,12,6,75,1,-1,0,-1,10379
36,4,1,1,0,-608,1,0,2,11,7,135,2,-1,0,-1,14208
40,4,1,1,0,254,1,0,2,7,7,107,3,-1,0,-1,12742
41,4,1,2,0,217,1,0,2,15,4,375,2,344,1,0,32148
25,9,0,2,0,845,1,0,2,18,5,217,1,370,1,0,38861
40,10,0,1,0,858,1,0,-1,21,5,173,1,-1,0,-1,4793
34,4,1,2,0,559,1,0,1,18,11,47,1,193,1,-1,24805
36,0,1,2,0,608,1,0,2,2,2,114,1,263,3,-1,29223
46,4,1,2,0,6215,0,0,-1,16,6,155,1,-1,0,-1,10582
36,0,1,2,1,-318,1,0,-1,15,5,133,2,-1,0,-1,3439
25,10,0,3,0,553,1,0,2,17,9,113,4,479,1,0,41603
29,7,1,3,0,1489,1,0,-1,28,5,430,1,-1,0,-1,6635
42,4,-1,2,0,-580,1,1,2,13,5,172,1,-1,0,-1,37062
27,10,0,3,0,148,1,0,2,31,7,632,18,-1,0,-1,18636
37,10,0,3,0,22125,0,1,2,21,11,331,2,-1,0,-1,27603
41,7,1,3,0,744,1,0,-1,14,5,125,1,-1,0,-1,3070
27,7,0,3,0,290,0,0,2,10,8,88,1,-1,0,-1,40743
56,5,-1,1,0,23,0,0,1,26,5,108,4,-1,0,-1,39634
29,9,-1,2,0,201,1,0,-1,4,6,121,3,-1,0,-1,8883
59,3,1,2,0,5678,1,0,-1,14,5,238,2,-1,0,-1,3130
48,4,1,2,0,48,1,1,-1,29,5,144,1,-1,0,-1,7090
44,4,1,1,0,10,1,0,2,17,7,196,1,-1,0,-1,15025
55,4,0,1,0,1187,1,0,-1,2,6,193,2,-1,0,-1,8113
40,5,-1,2,0,5766,1,1,-1,28,5,385,1,-1,0,-1,6600
39,5,0,2,0,230,0,1,2,8,7,106,1,-1,0,-1,13092
33,2,1,2,0,1536,0,0,2,9,11,262,1,94,2,1,42173
37,4,-1,2,0,614,1,0,-1,20,5,185,1,-1,0,-1,4617
30,5,0,2,0,595,1,0,2,17,4,172,1,-1,0,-1,32588
46,10,-1,2,0,0,0,0,2,27,8,763,5,-1,0,-1,23264
41,5,1,2,0,56,1,0,2,31,7,63,21,-1,0,-1,18556
34,10,1,3,0,4,1,0,2,31,7,33,39,-1,0,-1,18617
36,9,0,2,0,115,0,0,2,4,5,134,3,91,1,0,34328
45,4,1,1,0,360,0,0,-1,20,6,98,2,-1,0,-1,11675
34,4,1,1,0,698,1,0,2,4,5,83,5,-1,0,-1,34378
34,10,-1,3,0,70,1,0,-1,22,7,5,1,701,6,-1,44252
41,9,-1,2,0,4,1,0,2,5,2,232,1,211,1,0,30185
31,8,0,3,0,627,0,0,2,20,11,486,2,-1,0,-1,26572
49,6,0,3,0,-341,0,1,2,18,11,920,2,-1,0,-1,25363
45,7,1,2,0,280,1,0,2,4,5,562,3,168,2,-1,34312
48,0,1,2,0,3287,1,1,2,20,4,242,2,307,1,0,33568
33,5,1,2,0,-329,1,0,2,9,4,113,1,-1,0,-1,31880
57,7,-1,2,0,470,0,0,2,5,8,480,3,-1,0,-1,44443
34,7,0,2,0,4676,0,0,2,11,8,248,3,-1,0,-1,20340
31,9,0,3,0,0,1,1,-1,23,5,181,1,-1,0,-1,5324
38,8,1,2,0,-272,0,1,-1,17,6,143,2,-1,0,-1,10747
48,4,1,1,0,-83,0,0,2,14,8,136,3,-1,0,-1,21190
45,5,1,2,0,-406,1,1,2,21,7,276,2,-1,0,-1,15866
27,4,1,2,0,0,1,0,2,17,7,444,6,-1,0,-1,15247
40,4,1,2,0,193,1,1,-1,26,5,258,1,-1,0,-1,5733
45,4,1,1,0,678,0,0,2,5,8,104,3,-1,0,-1,19096
47,4,1,1,0,362,1,0,2,18,8,111,8,-1,0,-1,21313
35,7,0,3,0,576,0,0,2,28,8,8,13,-1,0,-1,23762
31,10,0,3,0,1073,1,0,1,29,1,82,1,-1,0,-1,28230
32,7,0,2,0,2979,0,0,2,25,5,156,1,-1,0,-1,39444
36,0,1,2,0,439,1,0,1,6,2,18,6,-1,0,-1,30579
46,4,1,1,0,-175,1,1,2,17,4,250,1,324,2,0,32600
41,4,1,2,0,795,1,0,-1,2,6,147,1,-1,0,-1,8188
55,5,-1,2,0,72,1,1,-1,15,5,384,4,-1,0,-1,3506
36,4,0,2,0,-175,1,0,-1,15,5,180,2,-1,0,-1,3251
26,7,1,3,0,3825,1,0,-1,13,5,107,1,-1,0,-1,2434
50,4,1,1,0,157,0,0,2,27,8,50,4,-1,0,-1,23287
43,4,0,2,0,24,0,0,2,12,5,68,1,363,1,0,36647
42,1,1,1,0,-209,0,1,2,11,8,90,2,-1,0,-1,20215
31,4,0,2,0,545,1,0,2,18,11,195,2,-1,0,-1,25159
30,7,0,2,0,656,0,1,-1,4,7,523,1,-1,0,-1,12599
29,2,0,2,0,1779,0,0,2,4,6,400,1,-1,0,-1,40066
34,7,0,2,0,486,1,0,2,16,4,204,1,328,2,0,32222
35,4,0,2,0,406,1,0,-1,11,6,126,12,-1,0,-1,10042
60,10,1,3,0,5041,0,0,1,4,11,399,1,-1,0,-1,24121
29,10,1,3,0,1713,1,0,2,4,2,227,2,-1,0,-1,29820
27,4,1,1,0,1535,1,0,2,15,5,238,1,-1,0,-1,38170
42,4,1,2,0,54,1,0,-1,28,5,268,1,-1,0,-1,6715
41,7,1,2,0,-329,0,0,1,5,2,13,8,238,9,-1,30159
33,4,1,2,0,-208,1,1,2,4,5,306,3,360,1,0,34278
26,10,0,3,0,1592,0,0,2,6,10,604,2,485,5,-1,44943
47,6,1,2,0,1121,0,0,-1,20,6,454,6,-1,0,-1,11850
40,4,1,2,0,1451,0,0,2,1,6,314,1,-1,0,-1,39836
40,7,1,2,0,0,0,0,2,15,4,431,2,-1,0,-1,32102
48,4,1,2,0,558,1,0,1,5,2,708,8,-1,0,-1,30178
35,7,0,2,0,353,1,0,2,20,4,8,3,-1,0,-1,33556
36,4,-1,2,0,107,1,0,2,31,7,134,2,-1,0,-1,18606
37,5,-1,2,0,904,1,0,-1,12,5,507,1,-1,0,-1,2190
30,9,-1,2,0,1320,1,1,2,5,5,122,3,362,1,0,34408
34,7,-1,3,0,1317,1,0,2,15,5,239,1,-1,0,-1,38159
38,-1,1,-1,0,653,0,0,1,29,8,17,18,-1,0,-1,23945
27,7,1,2,0,267,1,0,2,18,5,166,4,-1,0,-1,39159
44,4,0,1,0,97,1,0,-1,23,5,95,14,-1,0,-1,5566
37,10,1,3,0,5432,1,1,-1,20,5,774,1,-1,0,-1,4511
66,3,1,1,0,206,0,0,2,9,2,479,1,-1,0,-1,30908
34,7,1,2,0,966,1,0,2,18,5,16,4,273,7,-1,39164
30,7,0,2,0,-522,1,1,2,5,5,670,2,286,6,0,34671
55,8,1,2,0,204,0,0,2,14,7,455,13,-1,0,-1,14454
49,4,1,3,0,1784,0,0,-1,12,6,753,1,-1,0,-1,10320
30,4,0,2,0,297,1,0,2,25,7,218,1,-1,0,-1,16919
55,5,1,2,0,761,1,0,1,11,5,28,1,-1,0,-1,36158
54,3,-1,3,0,185,1,0,1,13,5,413,6,-1,0,-1,36992
34,4,1,2,0,1682,1,1,2,28,7,123,3,-1,0,-1,17468
32,10,0,3,0,769,0,0,2,29,8,695,2,-1,0,-1,23874
54,9,1,2,0,19213,0,0,2,12,8,100,6,-1,0,-1,20504
27,10,1,3,0,1531,1,0,2,15,5,187,1,367,4,0,38269
58,8,1,3,0,2920,1,0,-1,9,6,136,1,-1,0,-1,9784
45,9,0,2,0,341,1,1,2,5,5,77,2,-1,0,-1,34674
60,4,1,1,0,109,0,0,-1,27,6,349,5,-1,0,-1,12398
55,4,1,2,0,4577,0,0,2,15,6,24,1,-1,0,-1,40269
45,4,1,1,0,751,0,0,2,28,8,151,4,-1,0,-1,23551
45,10,-1,3,1,-946,1,0,2,13,5,213,1,-1,0,-1,37291
32,9,1,2,0,413,1,0,2,20,4,95,3,341,2,0,33075
37,5,1,2,0,-601,1,0,2,11,7,210,2,-1,0,-1,14172
44,10,0,2,0,3684,1,0,2,17,11,35,3,-1,0,-1,24658
30,0,1,2,1,19,0,0,2,19,11,186,5,-1,0,-1,26100
40,4,1,1,0,-166,1,0,-1,13,5,136,1,-1,0,-1,2431
32,7,0,2,0,-22,1,0,2,20,8,215,2,-1,0,-1,21915
51,4,1,1,0,5131,1,0,2,9,4,348,1,329,2,0,31899
35,4,0,2,0,773,1,0,-1,23,5,136,2,-1,0,-1,5213
27,10,0,3,0,20585,0,0,2,15,6,188,1,-1,0,-1,40279
32,4,1,1,0,77,1,0,2,17,4,464,2,-1,0,-1,32985
37,5,-1,1,0,260,1,0,2,17,4,446,2,-1,0,-1,33003
31,4,0,2,0,334,1,1,-1,2,6,425,2,-1,0,-1,8100
36,4,1,1,0,1548,1,1,2,18,5,226,2,-1,0,-1,39346
48,5,1,2,0,485,1,0,2,21,11,254,5,-1,0,-1,26896
53,3,0,1,0,0,0,0,-1,9,6,114,1,-1,0,-1,9788
30,4,1,1,0,554,1,0,-1,27,5,89,5,-1,0,-1,6473
33,7,0,3,0,196,1,0,2,12,5,183,5,-1,0,-1,36723
33,5,1,2,0,3444,1,0,2,22,7,487,4,-1,0,-1,16091
36,10,-1,3,0,8119,0,1,2,8,8,118,2,-1,0,-1,19813
38,4,1,2,0,924,1,0,-1,21,5,108,2,-1,0,-1,5112
40,4,1,2,0,125,1,0,2,13,5,119,2,370,1,0,37386
35,7,1,2,0,114,1,1,2,9,9,105,3,97,4,0,41514
52,10,1,2,0,4873,0,0,2,8,7,99,9,-1,0,-1,13359
32,4,0,2,0,395,1,1,2,20,4,339,1,-1,0,-1,33118
53,10,-1,2,0,2215,1,1,2,31,7,88,14,-1,0,-1,18609
37,10,1,3,0,308,1,0,-1,7,5,96,3,-1,0,-1,1031
58,5,1,2,0,0,0,0,1,29,7,50,2,-1,0,-1,17548
33,10,0,3,0,729,1,1,-1,18,6,178,5,-1,0,-1,11132
57,-1,1,1,0,270,0,0,2,14,8,526,2,-1,0,-1,20983
51,7,1,3,0,1537,0,1,2,14,7,400,3,-1,0,-1,14505
36,5,1,3,0,562,0,0,2,25,5,90,1,-1,0,-1,39468
35,4,0,2,0,219,1,1,-1,29,5,161,1,-1,0,-1,7316
23,2,0,3,0,508,0,0,2,8,9,210,1,92,1,0,44733
32,4,1,2,0,316,1,0,2,9,2,14,4,-1,0,-1,31000
45,5,1,1,0,116,1,0,-1,11,6,287,3,-1,0,-1,10230
33,4,1,2,0,931,1,0,2,5,5,272,2,336,1,0,34423
34,7,0,2,0,1313,0,0,2,12,8,176,1,21,6,0,44529
27,4,0,2,0,153,1,0,2,20,4,198,3,346,1,0,33599
35,4,1,2,0,2200,1,0,2,17,4,14,1,-1,0,-1,32778
51,9,1,2,0,42,1,0,2,13,5,80,2,-1,0,-1,37302
30,9,-1,2,0,1,1,0,-1,8,5,175,5,-1,0,-1,1168
31,10,0,3,0,4509,1,0,-1,12,5,207,3,-1,0,-1,2109
24,2,0,2,0,689,0,0,2,8,9,630,1,-1,0,-1,44734
32,10,0,3,0,1756,1,0,-1,21,5,206,3,-1,0,-1,5125
78,3,-1,-1,0,0,0,0,1,8,10,259,1,-1,0,-1,41734
46,4,1,2,0,78,1,1,-1,7,5,145,1,-1,0,-1,1115
34,4,1,2,0,1221,1,0,2,6,5,182,1,90,8,0,43647
47,1,1,2,0,2524,0,0,2,12,10,105,1,-1,0,-1,41750
36,10,1,3,0,0,1,0,2,18,11,103,1,175,2,0,24955
55,10,-1,3,0,347,1,0,2,2,2,115,1,-1,0,-1,28986
45,4,1,2,0,603,0,0,2,22,5,204,1,-1,0,-1,39373
52,7,1,1,0,-50,1,0,2,15,5,129,2,-1,0,-1,38487
22,10,0,3,0,104,0,1,2,16,4,330,3,-1,0,-1,43491
40,10,1,1,0,738,1,1,2,2,4,399,2,258,3,0,31541
29,4,1,2,0,3310,0,0,2,1,9,367,1,91,4,0,44640
39,10,1,2,0,313,1,0,2,17,11,125,1,-1,0,-1,24283
37,7,1,2,0,3043,0,0,2,11,8,123,4,-1,0,-1,20155
27,2,0,3,0,5291,0,0,2,12,8,345,2,-1,0,-1,40851
34,5,1,2,0,0,1,0,-1,19,5,115,4,-1,0,-1,4233
37,9,1,2,0,373,0,0,2,29,8,98,10,-1,0,-1,24018
26,7,0,3,0,8839,1,0,-1,29,5,932,3,-1,0,-1,7269
37,9,-1,3,0,-65,0,0,2,21,7,226,1,-1,0,-1,15623
40,4,1,2,0,211,1,0,-1,5,5,216,4,-1,0,-1,359
37,5,1,2,0,4151,1,1,2,30,7,543,4,-1,0,-1,18024
31,6,0,2,0,1086,0,0,2,20,11,410,1,-1,0,-1,26422
30,4,0,2,0,1837,1,0,2,18,5,109,2,-1,0,-1,39338
58,4,1,1,0,189,1,0,1,8,4,119,1,-1,0,-1,31818
41,7,1,2,0,3,1,1,-1,3,6,197,3,-1,0,-1,8694
31,8,-1,3,0,1767,0,0,1,25,7,395,6,-1,0,-1,17143
42,7,-1,3,0,147,1,0,-1,3,6,254,21,-1,0,-1,8669
44,8,-1,3,0,134,1,0,2,12,5,78,5,-1,0,-1,36684
44,4,1,2,0,274,1,1,-1,6,5,409,1,-1,0,-1,456
35,10,0,2,0,329,0,0,2,23,7,375,8,-1,0,-1,16327
39,7,1,2,0,375,1,1,1,17,4,777,2,-1,0,-1,32718
39,4,1,-1,0,1181,1,0,2,30,7,650,2,-1,0,-1,17913
39,7,1,2,0,6,1,0,2,18,5,122,3,357,4,0,39282
54,10,1,3,0,1353,1,0,-1,27,5,119,2,-1,0,-1,6094
32,4,1,1,0,159,1,0,-1,21,5,207,3,-1,0,-1,5170
30,7,1,3,0,88,0,0,-1,4,6,219,1,-1,0,-1,8832
51,10,1,3,0,36,1,0,-1,13,5,535,2,-1,0,-1,2562
31,7,1,2,0,503,0,0,2,20,11,178,1,-1,0,-1,26371
44,7,-1,2,0,-865,1,0,2,20,4,334,1,-1,0,-1,33362
32,7,1,2,0,344,1,0,2,20,11,179,1,197,1,0,26177
57,3,1,3,0,1029,0,1,2,8,7,203,1,-1,0,-1,13079
24,2,0,-1,0,358,0,0,2,14,9,407,2,92,2,1,44790
59,7,1,2,0,259,0,0,2,18,3,224,1,-1,0,-1,31369
48,4,1,1,0,237,1,0,-1,19,6,18,18,-1,0,-1,11617
37,4,0,2,0,5818,0,0,-1,17,6,652,2,-1,0,-1,10869
51,4,1,1,0,0,1,1,2,25,7,946,3,-1,0,-1,17095
28,4,1,1,0,0,1,0,2,16,7,129,2,-1,0,-1,14828
64,3,1,1,0,43,0,0,2,11,3,117,1,91,1,1,43278
44,4,1,1,0,2791,0,0,-1,18,6,335,1,-1,0,-1,11180
33,5,0,2,0,3910,1,0,2,19,11,676,2,-1,0,-1,26060
50,5,1,2,0,481,1,0,2,13,5,168,1,-1,0,-1,37306
51,0,1,1,0,0,0,0,-1,5,6,23,2,-1,0,-1,9159
50,4,1,2,0,95,1,0,-1,15,5,468,5,-1,0,-1,3188
32,10,0,3,0,462,0,0,2,21,4,252,1,-1,0,-1,33706
35,7,0,-1,0,1342,1,0,2,19,11,68,1,-1,0,-1,25709
34,8,0,2,0,318,1,0,2,20,4,40,1,150,2,0,33293
55,4,1,2,0,1328,1,0,-1,15,5,100,1,-1,0,-1,3394
24,2,0,2,0,154,0,0,2,4,9,205,2,-1,0,-1,41434
30,9,1,2,0,-170,1,1,-1,26,5,130,1,-1,0,-1,5730
35,10,1,2,0,724,1,0,2,18,10,102,3,96,3,1,45045
50,7,0,2,0,246,1,0,2,17,7,174,2,-1,0,-1,15220
34,9,1,2,0,79,1,0,-1,23,5,83,1,-1,0,-1,5337
36,10,1,3,0,871,0,0,2,18,11,170,1,-1,0,-1,25001
37,-1,0,2,0,57,1,0,-1,27,5,142,1,-1,0,-1,6164
32,10,0,3,0,435,1,1,2,15,5,676,3,-1,0,-1,38400
31,4,0,1,0,864,1,0,1,14,5,113,2,-1,0,-1,37935
45,10,1,3,0,1447,1,1,2,7,7,461,2,-1,0,-1,12745
30,9,1,2,0,692,1,0,2,11,5,290,1,-1,0,-1,36342
57,8,1,2,0,9902,0,0,2,18,6,88,3,-1,0,-1,40341
54,7,1,2,0,65,0,0,2,28,5,309,4,93,4,0,43825
50,10,1,2,1,421,0,0,2,20,11,22,5,-1,0,-1,26480
33,10,0,3,0,5437,0,0,2,2,2,78,1,-1,0,-1,29208
40,4,1,2,0,0,0,0,2,25,7,96,2,-1,0,-1,16989
50,10,-1,2,0,-35,1,0,2,18,8,207,5,-1,0,-1,21420
30,5,-1,2,0,341,1,0,2,13,5,54,1,174,1,1,37294
38,5,1,2,0,3039,1,1,2,11,5,146,2,-1,0,-1,36357
49,10,1,3,0,78,1,0,2,8,4,65,3,-1,0,-1,31776
37,7,1,2,0,-90,1,0,2,17,4,921,2,263,3,0,32656
34,10,1,3,0,4831,1,0,2,4,2,265,1,-1,0,-1,29816
36,4,1,2,0,-308,1,0,2,7,7,279,11,-1,0,-1,13014
57,3,1,1,0,-384,1,1,1,20,4,534,1,-1,0,-1,33191
35,7,1,2,0,251,1,1,-1,1,7,128,3,-1,0,-1,12451
47,4,1,1,0,242,1,0,-1,16,5,214,4,-1,0,-1,3896
44,7,0,3,0,900,1,0,2,29,1,322,2,-1,0,-1,28549
36,10,-1,3,0,0,0,0,2,4,8,1165,1,-1,0,-1,18895
26,5,0,2,0,209,1,0,2,22,7,319,2,-1,0,-1,16210
30,4,0,2,0,1224,1,0,2,17,4,196,2,-1,0,-1,32832
29,4,1,2,0,3310,0,0,2,5,2,276,2,-1,0,-1,42922
